DriversKilled,drivers,front,rear,kms,PetrolPrice,VanKilled,law,time,asof_date,hour,day,value
107,1687,867,269,9059,0.102971811805368,12,0,1969-01-01,1969-01-01,1,1969,9059
97,1508,825,265,7685,0.102362995884646,6,0,1969-02-01,1969-02-01,2,1969,7685
102,1507,806,319,9963,0.10206249063591401,12,0,1969-03-01,1969-03-01,3,1969,9963
87,1385,814,407,10955,0.100873300511862,8,0,1969-04-01,1969-04-01,4,1969,10955
119,1632,991,454,11823,0.10101967289193402,10,0,1969-05-01,1969-05-01,5,1969,11823
106,1511,945,427,12391,0.10058119170287,13,0,1969-06-01,1969-06-01,6,1969,12391
110,1559,1004,522,13460,0.10377398145783902,11,0,1969-07-01,1969-07-01,7,1969,13460
106,1630,1091,536,14055,0.104076403554621,6,0,1969-08-01,1969-08-01,8,1969,14055
107,1579,958,405,12106,0.10377398145783902,10,0,1969-09-01,1969-09-01,9,1969,12106
134,1653,850,437,11372,0.10302640133057199,16,0,1969-10-01,1969-10-01,10,1969,11372
147,2152,1109,434,9834,0.10273011215594599,13,0,1969-11-01,1969-11-01,11,1969,9834
180,2148,1113,437,9267,0.10199719153984699,14,0,1969-12-01,1969-12-01,12,1969,9267
125,1752,925,316,9130,0.10127456349489301,14,0,1970-01-01,1970-01-01,1,1970,9130
134,1765,903,311,8933,0.10070397563972,6,0,1970-02-01,1970-02-01,2,1970,8933
110,1717,1006,351,11000,0.10013960665889801,8,0,1970-03-01,1970-03-01,3,1970,11000
102,1558,892,362,10733,0.0986211043713023,11,0,1970-04-01,1970-04-01,4,1970,10733
103,1575,990,486,12912,0.0983492854059603,7,0,1970-05-01,1970-05-01,5,1970,12912
111,1520,866,429,12926,0.0980801772105387,13,0,1970-06-01,1970-06-01,6,1970,12926
120,1805,1095,551,13990,0.0972792082183714,13,0,1970-07-01,1970-07-01,7,1970,13990
129,1800,1204,646,14926,0.0974106238350488,11,0,1970-08-01,1970-08-01,8,1970,14926
122,1719,1029,456,12900,0.0974252365245483,11,0,1970-09-01,1970-09-01,9,1970,12900
183,2008,1147,475,12034,0.0963806330037465,14,0,1970-10-01,1970-10-01,10,1970,12034
169,2242,1171,456,10643,0.0957389559626943,16,0,1970-11-01,1970-11-01,11,1970,10643
190,2478,1299,468,10742,0.0951063062359475,14,0,1970-12-01,1970-12-01,12,1970,10742
134,2030,944,356,10266,0.0967359671470176,17,0,1971-01-01,1971-01-01,1,1971,10266
108,1655,874,271,10281,0.0961092224873678,16,0,1971-02-01,1971-02-01,2,1971,10281
104,1693,840,354,11527,0.09536725485137901,15,0,1971-03-01,1971-03-01,3,1971,11527
117,1623,893,427,12281,0.0947095915871269,13,0,1971-04-01,1971-04-01,4,1971,12281
157,1805,1007,465,13587,0.0941176202174608,13,0,1971-05-01,1971-05-01,5,1971,13587
148,1746,973,440,13049,0.0935321548190638,15,0,1971-06-01,1971-06-01,6,1971,13049
130,1795,1097,539,16055,0.0929540494377308,12,0,1971-07-01,1971-07-01,7,1971,16055
140,1926,1194,646,15220,0.0928397862431927,6,0,1971-08-01,1971-08-01,8,1971,15220
136,1619,988,457,13824,0.0927247362539862,9,0,1971-09-01,1971-09-01,9,1971,13824
140,1992,1077,446,12729,0.0922696509793897,13,0,1971-10-01,1971-10-01,10,1971,12729
187,2233,1045,402,11467,0.0917066851479679,14,0,1971-11-01,1971-11-01,11,1971,11467
150,2192,1115,441,11351,0.0912620719433678,15,0,1971-12-01,1971-12-01,12,1971,11351
159,2080,1005,359,10803,0.09071160325493598,14,0,1972-01-01,1972-01-01,1,1972,10803
143,1768,857,334,10548,0.090276328119195,3,0,1972-02-01,1972-02-01,2,1972,10548
114,1835,879,312,12368,0.0899519176272147,12,0,1972-03-01,1972-03-01,3,1972,12368
127,1569,887,427,13311,0.0890996386561615,13,0,1972-04-01,1972-04-01,4,1972,13311
159,1976,1075,434,13885,0.0886791925043499,12,0,1972-05-01,1972-05-01,5,1972,13885
156,1853,1121,486,14088,0.0881592888670634,8,0,1972-06-01,1972-06-01,6,1972,14088
138,1965,1190,569,16932,0.0889020568552906,8,0,1972-07-01,1972-07-01,7,1972,16932
120,1689,1058,523,16164,0.0881813314444876,15,0,1972-08-01,1972-08-01,8,1972,16164
117,1778,939,418,14883,0.0889402929599117,8,0,1972-09-01,1972-09-01,9,1972,14883
170,1976,1074,452,13532,0.0877266104275971,5,0,1972-10-01,1972-10-01,10,1972,13532
168,2397,1089,462,12220,0.087428846437772,17,0,1972-11-01,1972-11-01,11,1972,12220
198,2654,1208,497,12025,0.0870354301608856,14,0,1972-12-01,1972-12-01,12,1972,12025
144,2097,903,354,11692,0.0864499193294655,13,0,1973-01-01,1973-01-01,1,1973,11692
146,1963,916,347,11081,0.0858726409121568,5,0,1973-02-01,1973-02-01,2,1973,11081
109,1677,787,276,13745,0.0853982218357345,8,0,1973-03-01,1973-03-01,3,1973,13745
131,1941,1114,472,14382,0.083821981233605,5,0,1973-04-01,1973-04-01,4,1973,14382
151,2003,1014,487,14391,0.0845907801489325,12,0,1973-05-01,1973-05-01,5,1973,14391
140,1813,1022,505,15597,0.0841369037739444,11,0,1973-06-01,1973-06-01,6,1973,15597
153,2012,1114,619,16834,0.0837784051341314,13,0,1973-07-01,1973-07-01,7,1973,16834
140,1912,1132,640,17282,0.0835107427259604,15,0,1973-08-01,1973-08-01,8,1973,17282
161,2084,1111,559,15779,0.0828063938633846,11,0,1973-09-01,1973-09-01,9,1973,15779
168,2080,1008,453,13946,0.0811788933269884,11,0,1973-10-01,1973-10-01,10,1973,13946
